ID	symbol	desc	lfc	p	Cluster	Signature
100505633	LINC01133	long intergenic non-protein coding RNA 1133	1.801783938	0.000117157	5	bronchiolar
10331	B3GNT3	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3	2.037144544	8.67e-06	5	bronchiolar
11148	HHLA2	HERV-H LTR-associating 2	1.268724092	0.002085101	5	bronchiolar
112937	GLB1L3	galactosidase, beta 1-like 3	2.512561309	1.32e-08	5	bronchiolar
125965	COX6B2	cytochrome c oxidase subunit VIb polypeptide 2 (testis)	1.24614296	0.0010435	5	bronchiolar
1294	COL7A1	collagen, type VII, alpha 1	1.173052497	2.35e-05	5	bronchiolar
131096	KCNH8	potassium voltage-gated channel, subfamily H (eag-related), member 8	1.15686196	4.45e-05		bronchiolar
1356	CP	ceruloplasmin (ferroxidase)	1.007262192	0.001420157	5	bronchiolar
150696	PROM2	prominin 2	1.717620613	6.6e-07	5	bronchiolar
1591	CYP24A1	cytochrome P450, family 24, subfamily A, polypeptide 1	3.157531951	1.5e-05	5	bronchiolar
1825	DSC3	desmocollin 3	2.389834062	0.001682591	5	bronchiolar
1830	DSG3	desmoglein 3	3.245459237	0.00067479	5	bronchiolar
1949	EFNB3	ephrin-B3	1.285307049	0.000157063	5	bronchiolar
222584	FAM83B	family with sequence similarity 83, member B	2.356096412	1.01e-05	5	bronchiolar
2524	FUT2	fucosyltransferase 2 (secretor status included)	1.289493596	0.000609358	5	bronchiolar
25803	SPDEF	SAM pointed domain containing ETS transcription factor	1.573424242	1.42e-05	5	bronchiolar
26154	ABCA12	ATP-binding cassette, sub-family A (ABC1), member 12	2.742155551	9.51e-08	5	bronchiolar
2707	GJB3	gap junction protein, beta 3, 31kDa	1.307149604	0.000372027	5	bronchiolar
3149	HMGB3	high mobility group box 3	1.10155768	4.5e-06	5	bronchiolar
3852	KRT5	keratin 5	2.150720904	0.006757733	5	bronchiolar
3854	KRT6B	keratin 6B	2.09011479	0.004592457	5	bronchiolar
3861	KRT14	keratin 14	3.468107592	0.000323919	5	bronchiolar
3872	KRT17	keratin 17	3.131708982	5.42e-10	5	bronchiolar
404550	C16orf74	chromosome 16 open reading frame 74	1.070308353	4.54e-08	5	bronchiolar
41	ASIC1	acid-sensing (proton-gated) ion channel 1	1.479887352	2.42e-08	5	bronchiolar
4312	MMP1	matrix metallopeptidase 1 (interstitial collagenase)	3.275655854	5.4e-05	5	bronchiolar
4314	MMP3	matrix metallopeptidase 3 (stromelysin 1, progelatinase)	2.581845085	2.25e-06	5	bronchiolar
51804	SIX4	SIX homeobox 4	1.134569845	0.00280483	5	bronchiolar
